"Date","FR","DE","Gaz"
2020-06-01,9.28,7.04,3.575
2020-06-02,20.95,25.77,4.35
2020-06-03,24.98,27.03,4.85
2020-06-04,22.33,25.91,4.575
2020-06-05,17.01,22.86,4.875
2020-06-08,29.83,32.06,5
2020-06-09,29.68,36.08,4.775
2020-06-10,30.01,32.2,4.625
2020-06-11,23.64,24.52,4.75
2020-06-12,20.77,21.32,4.95
2020-06-15,31.58,31.94,5.4
2020-06-16,32.64,36.34,5.1
2020-06-17,34.29,35.75,5.025
2020-06-18,31.75,32.15,5.2
2020-06-19,29.81,29.96,5.475
2020-06-22,30.67,30.1,5.325
2020-06-23,32.57,32.87,5.8
2020-06-24,34.72,34.89,5.625
2020-06-25,36.03,34.7,5.025
2020-06-26,35.52,34.95,4.975
2020-06-29,29.58,28.99,5.65
2020-06-30,34.79,16.15,5.55
2020-07-01,35.13,33.64,5.6
2020-07-02,39.36,38.24,5.15
2020-07-03,35.62,33.76,4.775
2020-07-06,27.71,16.81,5.425
2020-07-07,35.36,32.83,5.5
2020-07-08,41.56,41.52,5.3
2020-07-09,41.47,42.41,4.8
2020-07-10,37.64,36.21,4.75
2020-07-13,35.05,35.94,4.35
2020-07-14,35.18,36.68,4.2
2020-07-15,40.06,42.41,4.7
2020-07-16,40.25,43.39,4.35
2020-07-17,36.84,38.44,4.9
2020-07-20,35.4,33.81,4.425
2020-07-21,36.21,32.35,4.65
2020-07-22,37.92,35.24,4.8
2020-07-23,39.11,35.01,4.825
2020-07-24,34.17,31.63,4.65
2020-07-27,34.42,32,4.325
2020-07-28,33.72,22.77,4.575
2020-07-29,37.93,22.15,4.9
2020-07-30,40.56,35.38,4.9
2020-07-31,41.28,37.78,5.175
2020-08-03,36.92,37.95,6.5
2020-08-04,35.06,36,6.575
2020-08-05,33.14,30.38,6.625
2020-08-06,36.87,34.58,6.95
2020-08-07,38.23,35.61,7.05
2020-08-10,38.76,37.49,6.9
2020-08-11,40.02,35.25,6.58
2020-08-12,40.35,35.82,6.275
2020-08-13,39.2,38.82,6.725
2020-08-14,37.98,41.2,7.05
2020-08-17,40.28,40.15,7.5
2020-08-18,41.38,41.87,8.225
2020-08-19,37.73,38.57,7.85
2020-08-20,37.85,37.29,7.275
2020-08-21,32.7,32.22,6.55
2020-08-24,45.59,42.44,7.925
2020-08-25,38.47,35.58,8.525
2020-08-26,39.01,16.18,8.85
2020-08-27,52.3,47.04,8.75
2020-08-28,42.34,40.94,9.875
2020-09-01,49.98,52.14,10.775
2020-09-02,50.07,50.55,10.45
2020-09-03,46.89,40.39,11.175
2020-09-04,44.02,39.69,11.625
2020-09-07,45.81,43.78,11.1
2020-09-08,47.02,37.72,11.025
2020-09-09,49.58,37.2,10.775
2020-09-10,51.13,48.42,10.45
2020-09-11,52.45,46.32,10.475
2020-09-14,55.8,51.86,10.425
2020-09-15,73.2,65.01,10.575
2020-09-16,57.16,50.43,11.15
2020-09-17,49.96,47.49,11.1
2020-09-18,44.91,43.36,10.9
2020-09-21,65.09,60.5,11.4
2020-09-22,55.26,56.15,11.4
2020-09-23,48.49,45.66,11.65
2020-09-24,43.19,36.62,11.425
2020-09-25,41.91,41.58,11.575
2020-09-28,47.89,49.13,12.4
2020-09-29,59.29,56.87,12.075
2020-09-30,50.04,49.36,12.425
2020-10-01,43.76,41.81,12
2020-10-02,38.36,32.51,12.2
2020-10-05,34.71,36.2,13.15
2020-10-06,35.41,34.28,12.75
2020-10-07,38.79,36.85,13.45
2020-10-08,37.3,30.2,13.675
2020-10-09,42.22,42.27,13.825
2020-10-12,47.67,47.33,13.8
2020-10-13,46.79,46.03,13.4
2020-10-14,43.4,34.26,13.9
2020-10-15,44.12,41.22,14.4
2020-10-16,48.35,47.46,14.875
2020-10-19,44.15,43.71,15
2020-10-20,39.29,34.72,14.7
2020-10-21,39.23,30.36,14.8
2020-10-22,44.57,33.12,15.325
2020-10-23,46.56,44.09,15.325
2020-10-26,40.19,39.1,14.85
2020-10-27,38.71,33.58,14.8
2020-10-28,37.94,30.83,14.175
2020-10-29,36.96,32.17,13.85
2020-10-30,33.58,32.02,13.3
2020-11-02,27.75,21.99,13.1
2020-11-03,37.04,36.14,13.775
2020-11-04,41.68,40,13.8
2020-11-05,39.09,39.25,14.35
2020-11-06,40.38,40.89,13.375
2020-11-09,44.09,43.95,13.85
2020-11-10,46.4,48,14.05
2020-11-11,39.47,44.97,13.975
2020-11-12,40.92,39.93,13.875
2020-11-13,41.31,40.91,13.9
2020-11-16,32.38,29.77,14.15
2020-11-17,40.16,38.34,13.575
2020-11-18,38.63,34.67,13.175
2020-11-19,34.31,27.28,12.85
2020-11-20,44.35,43.4,12.7
2020-11-23,48.58,42.55,13.525
2020-11-24,46.47,42.94,13.875
2020-11-25,47.72,46.45,13.975
2020-11-26,54.82,55.31,14.125
2020-11-27,60.21,63.05,14.525
2020-11-30,54.51,53.11,15.125
2020-12-01,55.64,55.02,14.975
2020-12-02,74.27,71.17,14.85
2020-12-03,52.49,47.96,13.975
2020-12-04,51.85,41.53,14.625
2020-12-07,61.93,48.36,14.25
2020-12-08,66.63,64.63,14.425
2020-12-09,76.08,76.69,14.825
2020-12-10,70.01,72.15,15.575
2020-12-11,52.06,45.99,15.975
2020-12-14,47.81,41.44,16.725
2020-12-15,52.56,51.27,17.2
2020-12-16,51.99,50.78,16.15
2020-12-17,55,44.47,15.775
2020-12-18,47.96,42.97,15.65
2020-12-21,43.91,35.53,16.85
2020-12-22,35.71,31.52,17.475
2020-12-23,40.6,43.18,17.125
2020-12-24,30.86,24.5,17.7
2020-12-29,49.44,45.72,19.2
2020-12-30,50.2,45.16,18.95
2020-12-31,49.6,47.63,19.15
2021-01-04,59.46,51.86,19.875
2021-01-05,63.81,54.45,17.95
2021-01-06,71.13,52.82,17.6
2021-01-07,81.29,77.65,19.6
2021-01-08,85.04,76.66,20.35
2021-01-11,67.6,50.45,22.175
2021-01-12,63.89,46.38,26.5
2021-01-13,73.56,44.15,21.85
2021-01-14,72.97,70.41,21.375
2021-01-15,72.96,76.18,20.275
2021-01-18,69.23,57.09,19.125
2021-01-19,60.19,44.87,20.175
2021-01-20,48.23,37.08,19.975
2021-01-21,41.91,29.37,19.75
2021-01-22,50.38,44.2,21.575
2021-01-25,62.16,62.75,20.15
2021-01-26,63.77,60.81,19.55
2021-01-27,59.16,58.86,19.675
2021-01-28,54.84,55.26,20.8
2021-01-29,47.68,48.99,19.95
2021-02-01,57.02,58.71,18.05
2021-02-02,48.26,54.84,18.025
2021-02-03,41.94,45.01,17.925
2021-02-04,52.6,51.59,18.05
2021-02-05,51.55,51.12,18.3
2021-02-08,50.62,47.64,20.6
2021-02-09,65.42,64.28,19.825
2021-02-10,72.66,69.19,19.2
2021-02-11,78.81,78.05,18.05
2021-02-12,63.34,63.31,17.625
2021-02-15,52.42,53.15,16.325
2021-02-16,53.5,52.69,16.625
2021-02-17,49.88,49.88,16.45
2021-02-18,48.13,45.61,17
2021-02-19,47.64,48,16.4
2021-02-22,48.58,49.86,15.825
2021-02-23,43.52,45.28,15.9
2021-02-24,36.95,40,16.2
2021-02-25,46.55,46.19,15.875
